,castname,idx,age,gender,class
0,김신영,33,34,0,guest
1,고든 램지,1,52,1,chef
2,김종민,35,39,1,guest
3,박철민_(배우),36,51,1,guest
4,차오루,65,31,0,guest
5,강균성,38,37,1,guest
6,박찬호,39,45,1,guest
7,차태현,43,42,1,guest
8,알렉스_(가수),45,39,1,guest
9,이대호,50,36,1,guest
10,여경래,7,58,1,chef
11,이찬오,8,34,1,chef
12,정형돈,9,40,1,chef
13,정창욱,10,38,1,chef
14,주배안,11,37,1,chef
15,홍성흔,53,42,1,guest
16,이홍기,34,28,1,guest
17,태양_(1988년),56,30,1,guest
18,조세호,37,36,1,guest
19,지누_(가수),55,47,1,guest
20,김영철_(희극인),58,44,1,guest
21,탁재훈,48,50,1,guest
22,김기방,59,37,1,guest
23,문희준,60,40,1,guest
24,이하늬,57,35,0,guest
25,샘_오취리,62,26,1,guest
26,장수원,149,38,1,guest
27,가희,67,38,0,guest
28,거미_(가수),68,37,0,guest
29,이원일,17,39,1,chef
30,김태원_(음악인),70,53,1,guest
31,정용화,72,29,1,guest
32,백승욱,19,40,1,chef
33,모토카와 아쓰시,20,50,1,chef
34,김예원_(1989년),75,29,0,guest
35,권혁수,76,31,1,guest
36,정연_(가수),77,22,0,guest
37,이수경_(1982년),41,36,0,guest
38,지드래곤,145,30,1,guest
39,이문세,81,59,1,guest
40,정경호_(1983년),83,35,1,guest
41,문세윤,85,36,1,guest
42,이선균,87,43,1,guest
43,임창정,89,45,1,guest
44,유창준,25,40,1,chef
45,장서희,90,46,0,guest
46,최정윤,91,41,0,guest
47,윤두준,97,29,1,guest
48,이계인,99,66,1,guest
49,보아,100,32,0,guest
50,김영호_(배우),107,51,1,guest
51,토니정,2,37,1,chef
52,이규한_(배우),108,38,1,guest
53,박현빈,109,36,1,guest
54,최지우,110,42,0,guest
55,김재덕_(가수),78,39,1,guest
56,김완선,113,49,1,guest
57,한상훈,5,40,1,chef
58,바로_(가수),116,26,1,guest
59,효린,117,28,0,guest
60,오승환,121,36,1,guest
61,혜민스님,126,44,1,guest
62,Key_(가수),127,27,1,guest
63,송은이,150,45,0,guest
64,강타,128,39,1,guest
65,윤정수,132,46,1,guest
66,가인,136,31,0,guest
67,박준형_(가수),139,49,1,guest
68,사이먼_도미닉,44,34,1,guest
69,존_박,141,30,1,guest
70,최현석,13,46,1,chef
71,현아,142,26,0,guest
72,이제훈,152,34,1,guest
73,김성규_(가수),118,29,1,guest
74,이상민,21,45,1,chef
75,변진섭,168,52,1,guest
76,김승수_(배우),154,47,1,guest
77,박나래_(희극인),155,33,0,guest
78,김지훈_(1981년),156,37,1,guest
79,예지원,158,45,0,guest
80,택연,160,30,1,guest
81,설현,161,23,0,guest
82,신승훈,162,52,1,guest
83,헨리_(가수),163,29,1,guest
84,온주완,129,35,1,guest
85,지상렬,164,48,1,guest
86,강수진_(발레_무용수),165,51,0,guest
87,박리혜,26,43,0,chef
88,잭슨_(가수),134,24,1,guest
89,타블로,167,38,1,guest
90,알베르토_몬디,98,34,1,guest
91,유병재,170,30,1,guest
92,김민준,29,42,1,chef
93,염정아,172,46,0,guest
94,이소라_(모델),174,49,0,guest
95,정준하,177,47,1,guest
96,소유_(가수),180,26,0,guest
97,이성경,183,28,0,guest
98,미카엘,0,36,1,chef
99,손연재,42,24,0,guest
100,소유진,52,37,0,guest
101,딘딘,112,27,1,guest
102,이연복,4,59,1,chef
103,최화정,40,57,0,guest
104,유현수,6,36,1,chef
105,이성재_(배우),130,47,1,guest
106,장도연,140,33,0,guest
107,하석진,51,36,1,guest
108,정지선,12,35,0,chef
109,케이윌,178,37,1,guest
110,데프콘_(가수),54,41,1,guest
111,김나영_(방송인),61,36,0,guest
112,김미숙,159,59,0,guest
113,박진희_(배우),63,40,0,guest
114,정상훈,64,39,1,guest
115,홍석천,15,40,1,chef
116,샘킴,16,41,1,chef
117,김원준,88,45,1,guest
118,이시언_(배우),69,36,1,guest
119,제시_(가수),71,30,0,guest
120,서장훈,73,44,1,guest
121,이승철,74,52,1,guest
122,솔비,143,34,0,guest
123,이덕화,80,66,1,guest
124,김숙,131,43,0,guest
125,임원희,84,48,1,guest
126,이특_(가수),86,35,1,guest
127,박준우,24,35,1,chef
128,김준호_(희극인),49,43,1,guest
129,이태곤_(배우),66,41,1,guest
130,정준영,92,29,1,guest
131,한고은,103,43,0,guest
132,진_(가수),135,26,1,guest
133,이재윤_(배우),93,34,1,guest
134,소미,94,17,0,guest
135,유민상_(희극인),96,39,1,guest
136,김준현_(희극인),47,38,1,guest
137,써니_(가수),133,29,0,guest
138,바다_(가수),138,38,0,guest
139,로이_킴,101,25,1,guest
140,김용만_(희극인),102,51,1,guest
141,션_(가수),105,46,1,guest
142,허경환,32,37,1,guest
143,이재훈,3,38,1,chef
144,오현경_(1970년),114,48,0,guest
145,김성균_(배우),176,38,1,guest
146,김흥국,122,59,1,guest
147,유연석,124,34,1,guest
148,이천수,125,37,1,guest
149,김동현_(격투기_선수),147,37,1,guest
150,김영광_(배우),79,31,1,guest
151,박상면_(배우),181,50,1,guest
152,양희은,119,66,0,guest
153,백지영,106,42,0,guest
154,윤현민,46,33,1,guest
155,윤보라_(배우),179,29,0,guest
156,최민용,123,41,1,guest
157,오세득,14,42,1,chef
158,박근형,146,78,1,guest
159,김범수_(가수),148,39,1,guest
160,박건영,18,38,1,chef
161,환희,104,36,1,guest
162,김민석_(배우),151,28,1,guest
163,서민정,153,39,0,guest
164,배종옥,82,53,0,guest
165,맹기용,22,30,1,chef
166,김형규_(1976년),137,42,1,guest
167,레이먼 킴,23,43,1,chef
168,하니_(가수),144,26,0,guest
169,강예원,157,38,0,guest
170,이국주,182,32,0,guest
171,박정현,171,42,0,guest
172,김주혁,95,46,1,guest
173,비_(가수),166,36,1,guest
174,홍진영,115,33,0,guest
175,김윤아,169,44,0,guest
176,김성주,27,46,1,chef
177,정호영,28,43,1,chef
178,최형진,30,39,1,chef
179,김생민,111,45,1,guest
180,문채원,173,32,0,guest
181,이경규,120,58,1,guest
182,이문식,175,51,1,guest
183,김풍,31,40,1,chef
